2025-03-19 13:39:16 INFO - [clash]: INF [Config] initial compatible provider name=故障转移
2025-03-19 13:39:16 INFO - [clash]: INF [Config] initial compatible provider name=自动选择
2025-03-19 13:39:16 INFO - [clash]: INF [Config] initial compatible provider name=猫猫云
2025-03-19 13:39:16 INFO - [clash]: INF [API] listening addr=127.0.0.1:9090
2025-03-19 13:39:16 INFO - [clash]: INF inbound create success inbound=mixed addr=127.0.0.1:7890 network=tcp
2025-03-19 13:39:16 INFO - [clash]: INF inbound create success inbound=mixed addr=127.0.0.1:7890 network=udp
2025-03-19 13:39:16 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:1880 rAddr=update.pan.baidu.com:80 mode=rule rule=DomainKeyword(baidu) proxy=DIRECT
2025-03-19 13:39:16 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:1859 rAddr=update.pan.baidu.com:80 mode=rule rule=DomainKeyword(baidu) proxy=DIRECT
2025-03-19 13:39:17 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:1858 rAddr=inputsuggestions.msdxcdn.microsoft.com:443 mode=rule rule=DomainSuffix(microsoft.com) proxy=DIRECT
2025-03-19 13:39:22 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:2962 rAddr=sdk.talkingdata.com:80 mode=rule rule=GeoIP(CN) proxy=DIRECT
2025-03-19 13:39:22 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:2979 rAddr=gitee.com:443 mode=rule rule=GeoIP(CN) proxy=DIRECT
2025-03-19 13:39:22 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:2980 rAddr=gitee.com:443 mode=rule rule=GeoIP(CN) proxy=DIRECT
2025-03-19 13:39:22 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:2981 rAddr=gitee.com:443 mode=rule rule=GeoIP(CN) proxy=DIRECT
2025-03-19 13:39:22 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:2982 rAddr=gitee.com:443 mode=rule rule=GeoIP(CN) proxy=DIRECT
2025-03-19 13:39:22 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:2983 rAddr=gitee.com:443 mode=rule rule=GeoIP(CN) proxy=DIRECT
2025-03-19 13:39:22 INFO - [clash]: INF [TCP] connected lAddr=127.0.0.1:3013 rAddr=h5data.talkingdata.net:80 mode=rule rule=GeoIP(CN) proxy=DIRECT
